time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/clip_fraction,train/clip_range,train/std,train/entropy_loss,train/approx_kl,train/n_updates,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance
1278000,639,41.89489142,119,10718,763.8,0.0001,0.12816667252530653,0.222,0.591108500957489,-40.32512477238973,0.017758636,9570,-0.09053483605384827,-0.03601909712675303,0.1155253831918041,0.9132003262639046
1280000,640,41.8022168,119,10735,765.61,0.0001,0.10473333820312594,0.222,0.5907974243164062,-40.267407258351646,0.018328391,9585,-0.09687966108322144,-0.03721366013525986,0.08219417554792016,0.9392551183700562
1282000,641,41.85347269000001,119,10751,765.73,0.0001,0.0995333379212146,0.222,0.5884302258491516,-40.39329160054525,0.020178258,9600,-0.0726161077618599,-0.02555908274771935,0.3358642162910352,0.681593120098114
1284000,642,42.08847309,119,10769,767.94,0.0001,0.12440000533824787,0.222,0.5894862413406372,-39.69192171096802,0.02539495,9615,-0.08898592740297318,-0.031436216008804745,0.18346341729629784,0.8226286172866821
1286000,643,42.129170220000006,119,10785,767.99,0.0001,0.17813334077363835,0.222,0.5906950831413269,-40.10118087132772,0.024379943,9630,-0.0969071239233017,-0.04360207708731372,0.08472945191509401,0.9333888068795204
1288000,644,42.23560604,119,10802,766.98,0.0001,0.10256667056043321,0.222,0.5914970636367798,-40.25752944946289,0.01578369,9645,-0.08953268080949783,-0.027531681247882092,0.05769449215537558,0.9560103602707386
1290000,645,42.452413310000004,119,10819,768.85,0.0001,0.1035000046947971,0.222,0.5916649103164673,-39.75227279663086,0.016110722,9660,-0.09481029957532883,-0.028614329199119954,0.05377246754942462,0.9522760175168514
1292000,646,42.47709438000001,119,10835,768.95,0.0001,0.13360000567821165,0.222,0.5909501314163208,-40.162872060139975,0.02003354,9675,-0.09035316854715347,-0.04103984595806196,0.13303373221230383,0.8803723677992821
1294000,647,42.21912407000001,119,10852,760.35,0.0001,0.13496667232053974,0.222,0.5905622839927673,-39.68624912897746,0.022205941,9690,-0.10754088312387466,-0.0383381041518592,0.0719070271414239,0.9133971929550171
1296000,648,41.95156379,119,10869,750.14,0.0001,0.11673333890115221,0.222,0.5919753313064575,-39.80163415273031,0.016316224,9705,-0.061107851564884186,-0.0283773786329817,0.13446583282202482,0.9307952001690865
1298000,649,42.044586040000006,119,10885,749.22,0.0001,0.13133333892328664,0.222,0.5912442207336426,-39.823203531901044,0.02538718,9720,-0.08279649913311005,-0.03903040427297958,0.06852004408137873,0.9458631947636604
1300000,650,42.2627246,119,10902,755.04,0.0001,0.13480000591371208,0.222,0.5906911492347717,-39.545583724975586,0.02247623,9735,-0.08662128448486328,-0.033988041044203186,0.09300545414444059,0.9219664707779884
1302000,651,41.85813276,119,10919,747.48,0.0001,0.19463334180569897,0.222,0.5894119739532471,-39.86880509058634,0.026951386,9750,-0.08957790583372116,-0.0435622976401587,0.11586129424783091,0.8640635460615158
1304000,652,41.82618975000001,119,10935,745.38,0.0001,0.11693333870498464,0.222,0.5907923579216003,-40.504294872283936,0.0191983,9765,-0.10099516063928604,-0.03030933935499392,0.10747897795323903,0.9186719283461571
1306000,653,41.63275245,119,10952,739.58,0.0001,0.11666667198296636,0.222,0.5904064774513245,-39.51585922241211,0.015844796,9780,-0.0702446848154068,-0.03170286664478669,0.09699776157115897,0.9164542257785797
1308000,654,41.64283142,119,10969,734.98,0.0001,0.13530000624014066,0.222,0.5895288586616516,-39.78768008550008,0.019486722,9795,-0.07803792506456375,-0.030386245449496842,0.10716179468048116,0.9314685761928558
1310000,655,41.66279611,119,10986,740.28,0.0001,0.14156667220328625,0.222,0.5855857133865356,-40.37306292851766,0.031508848,9810,-0.0819801390171051,-0.03505695531838282,0.09333491682773457,0.8716558367013931
1312000,656,41.391542040000004,119,11002,737.05,0.0001,0.16643334049343442,0.222,0.5844290852546692,-40.7468274752299,0.018174244,9825,-0.0825701355934143,-0.03598190140556401,0.04956770683832777,0.9508453421294689
1314000,657,41.36968706,119,11019,738.02,0.0001,0.11466667191125453,0.222,0.5839117169380188,-39.966302458445234,0.015479472,9840,-0.057538919150829315,-0.030116745981516323,0.17128922537279626,0.8654971271753311
1316000,658,41.384885280000006,119,11035,739.37,0.0001,0.11376667188790937,0.222,0.5841650366783142,-40.94379307428996,0.017629376,9855,-0.07671422511339188,-0.03457632502179669,0.34107673619873824,0.7859873920679092
1318000,659,41.53620462,119,11052,740.79,0.0001,0.14950000647610676,0.222,0.5843480825424194,-40.40260893503825,0.019398,9870,-0.09185408055782318,-0.037662001590674406,0.15710605840237502,0.8124447464942932
1320000,660,41.61779369999999,119,11069,740.76,0.0001,0.16400000815435004,0.222,0.582284152507782,-40.26316515604655,0.041939333,9885,-0.11634989082813263,-0.04213377894556955,0.09523425504642849,0.9306973665952682
1322000,661,41.33803827,119,11086,734.67,0.0001,0.10670000470321005,0.222,0.580722451210022,-39.61172993977865,0.016736463,9900,-0.07969445735216141,-0.033141687138417454,0.08646674799965695,0.9180245772004128
